star_id,cluster,star_id_base,subtipo_rrlyrae
OGLEIII_OGLE-BLG-RRLYR-00954,2,OGLE-BLG-RRLYR-00954,RRab
OGLEIII_OGLE-BLG-RRLYR-00955,4,OGLE-BLG-RRLYR-00955,RRab
OGLEIII_OGLE-BLG-RRLYR-00956,5,OGLE-BLG-RRLYR-00956,RRab
OGLEIII_OGLE-BLG-RRLYR-00959,6,OGLE-BLG-RRLYR-00959,RRc
OGLEIII_OGLE-BLG-RRLYR-00960,6,OGLE-BLG-RRLYR-00960,RRc
OGLEIII_OGLE-BLG-RRLYR-00962,2,OGLE-BLG-RRLYR-00962,RRc
OGLEIII_OGLE-BLG-RRLYR-00963,6,OGLE-BLG-RRLYR-00963,RRc
OGLEIII_OGLE-BLG-RRLYR-00965,2,OGLE-BLG-RRLYR-00965,RRc
OGLEIII_OGLE-BLG-RRLYR-00966,3,OGLE-BLG-RRLYR-00966,RRab
OGLEIII_OGLE-BLG-RRLYR-00967,1,OGLE-BLG-RRLYR-00967,RRab
OGLEIII_OGLE-BLG-RRLYR-00968,6,OGLE-BLG-RRLYR-00968,RRc
OGLEIII_OGLE-BLG-RRLYR-00970,1,OGLE-BLG-RRLYR-00970,RRab
OGLEIII_OGLE-BLG-RRLYR-00971,6,OGLE-BLG-RRLYR-00971,RRd
OGLEIII_OGLE-BLG-RRLYR-00974,1,OGLE-BLG-RRLYR-00974,RRab
OGLEIII_OGLE-BLG-RRLYR-00975,6,OGLE-BLG-RRLYR-00975,RRc
OGLEIII_OGLE-BLG-RRLYR-00981,5,OGLE-BLG-RRLYR-00981,RRab
OGLEIII_OGLE-BLG-RRLYR-00984,4,OGLE-BLG-RRLYR-00984,RRab
OGLEIII_OGLE-BLG-RRLYR-00985,6,OGLE-BLG-RRLYR-00985,RRc
OGLEIII_OGLE-BLG-RRLYR-00988,5,OGLE-BLG-RRLYR-00988,RRab
OGLEIII_OGLE-BLG-RRLYR-00989,4,OGLE-BLG-RRLYR-00989,RRab
OGLEIII_OGLE-BLG-RRLYR-00990,4,OGLE-BLG-RRLYR-00990,RRab
OGLEIII_OGLE-BLG-RRLYR-00991,6,OGLE-BLG-RRLYR-00991,RRc
OGLEIII_OGLE-BLG-RRLYR-00993,4,OGLE-BLG-RRLYR-00993,RRab
OGLEIII_OGLE-BLG-RRLYR-00994,1,OGLE-BLG-RRLYR-00994,RRab
OGLEIII_OGLE-BLG-RRLYR-00995,1,OGLE-BLG-RRLYR-00995,RRab
OGLEIII_OGLE-BLG-RRLYR-00996,4,OGLE-BLG-RRLYR-00996,RRab
OGLEIII_OGLE-BLG-RRLYR-01000,6,OGLE-BLG-RRLYR-01000,RRc
OGLEIII_OGLE-BLG-RRLYR-01001,4,OGLE-BLG-RRLYR-01001,RRab
OGLEIII_OGLE-BLG-RRLYR-01002,4,OGLE-BLG-RRLYR-01002,RRab
OGLEIII_OGLE-BLG-RRLYR-01003,4,OGLE-BLG-RRLYR-01003,RRab
OGLEIII_OGLE-BLG-RRLYR-01004,4,OGLE-BLG-RRLYR-01004,RRab
OGLEIII_OGLE-BLG-RRLYR-01005,6,OGLE-BLG-RRLYR-01005,RRc
OGLEIII_OGLE-BLG-RRLYR-01006,4,OGLE-BLG-RRLYR-01006,RRab
OGLEIII_OGLE-BLG-RRLYR-01007,1,OGLE-BLG-RRLYR-01007,RRab
OGLEIII_OGLE-BLG-RRLYR-01009,4,OGLE-BLG-RRLYR-01009,RRab
OGLEIII_OGLE-BLG-RRLYR-01010,1,OGLE-BLG-RRLYR-01010,RRab
OGLEIII_OGLE-BLG-RRLYR-01012,4,OGLE-BLG-RRLYR-01012,RRab
OGLEIII_OGLE-BLG-RRLYR-01014,2,OGLE-BLG-RRLYR-01014,RRc
OGLEIII_OGLE-BLG-RRLYR-01015,4,OGLE-BLG-RRLYR-01015,RRab
OGLEIII_OGLE-BLG-RRLYR-01016,2,OGLE-BLG-RRLYR-01016,RRab
OGLEIII_OGLE-BLG-RRLYR-01018,2,OGLE-BLG-RRLYR-01018,RRc
OGLEIII_OGLE-BLG-RRLYR-01019,4,OGLE-BLG-RRLYR-01019,RRab
OGLEIII_OGLE-BLG-RRLYR-01020,5,OGLE-BLG-RRLYR-01020,RRab
OGLEIII_OGLE-BLG-RRLYR-01021,2,OGLE-BLG-RRLYR-01021,RRc
OGLEIII_OGLE-BLG-RRLYR-01022,4,OGLE-BLG-RRLYR-01022,RRab
OGLEIII_OGLE-BLG-RRLYR-01023,1,OGLE-BLG-RRLYR-01023,RRab
OGLEIII_OGLE-BLG-RRLYR-01024,2,OGLE-BLG-RRLYR-01024,RRc
OGLEIII_OGLE-BLG-RRLYR-01026,6,OGLE-BLG-RRLYR-01026,RRc
OGLEIII_OGLE-BLG-RRLYR-01027,5,OGLE-BLG-RRLYR-01027,RRab
OGLEIII_OGLE-BLG-RRLYR-01028,1,OGLE-BLG-RRLYR-01028,RRab
OGLEIII_OGLE-BLG-RRLYR-01029,1,OGLE-BLG-RRLYR-01029,RRab
OGLEIII_OGLE-BLG-RRLYR-01030,2,OGLE-BLG-RRLYR-01030,RRc
OGLEIII_OGLE-BLG-RRLYR-01032,6,OGLE-BLG-RRLYR-01032,RRc
OGLEIII_OGLE-BLG-RRLYR-01033,1,OGLE-BLG-RRLYR-01033,RRab
OGLEIII_OGLE-BLG-RRLYR-01034,2,OGLE-BLG-RRLYR-01034,RRab
OGLEIII_OGLE-BLG-RRLYR-01036,3,OGLE-BLG-RRLYR-01036,RRab
OGLEIII_OGLE-BLG-RRLYR-01037,4,OGLE-BLG-RRLYR-01037,RRab
OGLEIII_OGLE-BLG-RRLYR-01038,2,OGLE-BLG-RRLYR-01038,RRc
OGLEIII_OGLE-BLG-RRLYR-01039,4,OGLE-BLG-RRLYR-01039,RRab
OGLEIII_OGLE-BLG-RRLYR-01040,4,OGLE-BLG-RRLYR-01040,RRab
OGLEIII_OGLE-BLG-RRLYR-01042,4,OGLE-BLG-RRLYR-01042,RRab
OGLEIII_OGLE-BLG-RRLYR-01043,4,OGLE-BLG-RRLYR-01043,RRab
OGLEIII_OGLE-BLG-RRLYR-01044,1,OGLE-BLG-RRLYR-01044,RRab
OGLEIII_OGLE-BLG-RRLYR-01045,6,OGLE-BLG-RRLYR-01045,RRc
OGLEIII_OGLE-BLG-RRLYR-01046,6,OGLE-BLG-RRLYR-01046,RRc
OGLEIII_OGLE-BLG-RRLYR-01047,2,OGLE-BLG-RRLYR-01047,RRab
OGLEIII_OGLE-BLG-RRLYR-01048,4,OGLE-BLG-RRLYR-01048,RRab
OGLEIII_OGLE-BLG-RRLYR-01049,4,OGLE-BLG-RRLYR-01049,RRab
OGLEIII_OGLE-BLG-RRLYR-01050,2,OGLE-BLG-RRLYR-01050,RRab
OGLEIII_OGLE-BLG-RRLYR-01051,1,OGLE-BLG-RRLYR-01051,RRab
OGLEIII_OGLE-BLG-RRLYR-01052,2,OGLE-BLG-RRLYR-01052,RRc
OGLEIII_OGLE-BLG-RRLYR-01053,2,OGLE-BLG-RRLYR-01053,RRc
OGLEIII_OGLE-BLG-RRLYR-01054,6,OGLE-BLG-RRLYR-01054,RRc
OGLEIII_OGLE-BLG-RRLYR-01055,2,OGLE-BLG-RRLYR-01055,RRc
OGLEIII_OGLE-BLG-RRLYR-01056,4,OGLE-BLG-RRLYR-01056,RRab
OGLEIII_OGLE-BLG-RRLYR-01057,1,OGLE-BLG-RRLYR-01057,RRab
OGLEIII_OGLE-BLG-RRLYR-01058,1,OGLE-BLG-RRLYR-01058,RRab
OGLEIII_OGLE-BLG-RRLYR-01059,6,OGLE-BLG-RRLYR-01059,RRc
OGLEIII_OGLE-BLG-RRLYR-01061,1,OGLE-BLG-RRLYR-01061,RRab
OGLEIII_OGLE-BLG-RRLYR-01062,1,OGLE-BLG-RRLYR-01062,RRab
OGLEIII_OGLE-BLG-RRLYR-01063,1,OGLE-BLG-RRLYR-01063,RRab
OGLEIII_OGLE-BLG-RRLYR-01064,6,OGLE-BLG-RRLYR-01064,RRc
OGLEIII_OGLE-BLG-RRLYR-01067,6,OGLE-BLG-RRLYR-01067,RRc
OGLEIII_OGLE-BLG-RRLYR-01068,4,OGLE-BLG-RRLYR-01068,RRab
OGLEIII_OGLE-BLG-RRLYR-01069,3,OGLE-BLG-RRLYR-01069,RRab
OGLEIII_OGLE-BLG-RRLYR-01071,5,OGLE-BLG-RRLYR-01071,RRab
OGLEIII_OGLE-BLG-RRLYR-01072,4,OGLE-BLG-RRLYR-01072,RRab
OGLEIII_OGLE-BLG-RRLYR-01073,4,OGLE-BLG-RRLYR-01073,RRab
OGLEIII_OGLE-BLG-RRLYR-01074,1,OGLE-BLG-RRLYR-01074,RRab
OGLEIII_OGLE-BLG-RRLYR-01075,2,OGLE-BLG-RRLYR-01075,RRab
OGLEIII_OGLE-BLG-RRLYR-01076,5,OGLE-BLG-RRLYR-01076,RRab
OGLEIII_OGLE-BLG-RRLYR-01077,4,OGLE-BLG-RRLYR-01077,RRab
OGLEIII_OGLE-BLG-RRLYR-01078,1,OGLE-BLG-RRLYR-01078,RRab
OGLEIII_OGLE-BLG-RRLYR-01080,3,OGLE-BLG-RRLYR-01080,RRab
OGLEIII_OGLE-BLG-RRLYR-01081,4,OGLE-BLG-RRLYR-01081,RRab
OGLEIII_OGLE-BLG-RRLYR-01082,5,OGLE-BLG-RRLYR-01082,RRab
OGLEIII_OGLE-BLG-RRLYR-01083,1,OGLE-BLG-RRLYR-01083,RRab
OGLEIII_OGLE-BLG-RRLYR-01084,5,OGLE-BLG-RRLYR-01084,RRab
OGLEIII_OGLE-BLG-RRLYR-01085,4,OGLE-BLG-RRLYR-01085,RRab
OGLEIII_OGLE-BLG-RRLYR-01087,1,OGLE-BLG-RRLYR-01087,RRab
OGLEIII_OGLE-BLG-RRLYR-01088,6,OGLE-BLG-RRLYR-01088,RRc
OGLEIII_OGLE-BLG-RRLYR-01089,3,OGLE-BLG-RRLYR-01089,RRab
OGLEIII_OGLE-BLG-RRLYR-01090,6,OGLE-BLG-RRLYR-01090,RRc
OGLEIII_OGLE-BLG-RRLYR-01091,3,OGLE-BLG-RRLYR-01091,RRab
OGLEIII_OGLE-BLG-RRLYR-01092,3,OGLE-BLG-RRLYR-01092,RRab
OGLEIII_OGLE-BLG-RRLYR-01094,5,OGLE-BLG-RRLYR-01094,RRab
OGLEIII_OGLE-BLG-RRLYR-01095,4,OGLE-BLG-RRLYR-01095,RRab
OGLEIII_OGLE-BLG-RRLYR-01096,4,OGLE-BLG-RRLYR-01096,RRab
OGLEIII_OGLE-BLG-RRLYR-01097,6,OGLE-BLG-RRLYR-01097,RRc
OGLEIII_OGLE-BLG-RRLYR-01098,1,OGLE-BLG-RRLYR-01098,RRab
OGLEIII_OGLE-BLG-RRLYR-01099,6,OGLE-BLG-RRLYR-01099,RRc
OGLEIII_OGLE-BLG-RRLYR-01100,1,OGLE-BLG-RRLYR-01100,RRab
OGLEIII_OGLE-BLG-RRLYR-01101,6,OGLE-BLG-RRLYR-01101,RRc
OGLEIII_OGLE-BLG-RRLYR-01102,1,OGLE-BLG-RRLYR-01102,RRab
OGLEIII_OGLE-BLG-RRLYR-01103,4,OGLE-BLG-RRLYR-01103,RRab
OGLEIII_OGLE-BLG-RRLYR-01104,3,OGLE-BLG-RRLYR-01104,RRab
OGLEIII_OGLE-BLG-RRLYR-01105,4,OGLE-BLG-RRLYR-01105,RRab
OGLEIII_OGLE-BLG-RRLYR-01106,1,OGLE-BLG-RRLYR-01106,RRab
OGLEIII_OGLE-BLG-RRLYR-01107,4,OGLE-BLG-RRLYR-01107,RRab
OGLEIII_OGLE-BLG-RRLYR-01108,1,OGLE-BLG-RRLYR-01108,RRab
OGLEIII_OGLE-BLG-RRLYR-01109,4,OGLE-BLG-RRLYR-01109,RRab
OGLEIII_OGLE-BLG-RRLYR-01110,2,OGLE-BLG-RRLYR-01110,RRc
OGLEIII_OGLE-BLG-RRLYR-01112,1,OGLE-BLG-RRLYR-01112,RRab
OGLEIII_OGLE-BLG-RRLYR-01113,6,OGLE-BLG-RRLYR-01113,RRc
OGLEIII_OGLE-BLG-RRLYR-01115,6,OGLE-BLG-RRLYR-01115,RRc
OGLEIII_OGLE-BLG-RRLYR-01117,2,OGLE-BLG-RRLYR-01117,RRc
OGLEIII_OGLE-BLG-RRLYR-01118,6,OGLE-BLG-RRLYR-01118,RRc
OGLEIII_OGLE-BLG-RRLYR-01120,4,OGLE-BLG-RRLYR-01120,RRab
OGLEIII_OGLE-BLG-RRLYR-01121,6,OGLE-BLG-RRLYR-01121,RRc
OGLEIII_OGLE-BLG-RRLYR-01122,6,OGLE-BLG-RRLYR-01122,RRc
OGLEIII_OGLE-BLG-RRLYR-01123,2,OGLE-BLG-RRLYR-01123,RRc
OGLEIII_OGLE-BLG-RRLYR-01124,5,OGLE-BLG-RRLYR-01124,RRab
OGLEIII_OGLE-BLG-RRLYR-01125,1,OGLE-BLG-RRLYR-01125,RRab
OGLEIII_OGLE-BLG-RRLYR-01126,1,OGLE-BLG-RRLYR-01126,RRab
OGLEIII_OGLE-BLG-RRLYR-01128,1,OGLE-BLG-RRLYR-01128,RRab
OGLEIII_OGLE-BLG-RRLYR-01129,3,OGLE-BLG-RRLYR-01129,RRab
OGLEIII_OGLE-BLG-RRLYR-01130,5,OGLE-BLG-RRLYR-01130,RRab
OGLEIII_OGLE-BLG-RRLYR-01133,6,OGLE-BLG-RRLYR-01133,RRc
OGLEIII_OGLE-BLG-RRLYR-01134,1,OGLE-BLG-RRLYR-01134,RRab
OGLEIII_OGLE-BLG-RRLYR-01135,4,OGLE-BLG-RRLYR-01135,RRab
OGLEIII_OGLE-BLG-RRLYR-01136,4,OGLE-BLG-RRLYR-01136,RRab
OGLEIII_OGLE-BLG-RRLYR-01137,4,OGLE-BLG-RRLYR-01137,RRab
OGLEIII_OGLE-BLG-RRLYR-01138,2,OGLE-BLG-RRLYR-01138,RRab
OGLEIII_OGLE-BLG-RRLYR-01139,1,OGLE-BLG-RRLYR-01139,RRab
OGLEIII_OGLE-BLG-RRLYR-01140,4,OGLE-BLG-RRLYR-01140,RRab
OGLEIII_OGLE-BLG-RRLYR-01141,1,OGLE-BLG-RRLYR-01141,RRab
OGLEIII_OGLE-BLG-RRLYR-01142,4,OGLE-BLG-RRLYR-01142,RRab
OGLEIII_OGLE-BLG-RRLYR-01144,5,OGLE-BLG-RRLYR-01144,RRab
OGLEIII_OGLE-BLG-RRLYR-01145,1,OGLE-BLG-RRLYR-01145,RRab
OGLEIII_OGLE-BLG-RRLYR-01147,6,OGLE-BLG-RRLYR-01147,RRc
OGLEIII_OGLE-BLG-RRLYR-01149,1,OGLE-BLG-RRLYR-01149,RRab
OGLEIII_OGLE-BLG-RRLYR-01150,2,OGLE-BLG-RRLYR-01150,RRab
OGLEIII_OGLE-BLG-RRLYR-01151,4,OGLE-BLG-RRLYR-01151,RRab
OGLEIII_OGLE-BLG-RRLYR-01152,2,OGLE-BLG-RRLYR-01152,RRc
OGLEIII_OGLE-BLG-RRLYR-01155,4,OGLE-BLG-RRLYR-01155,RRab
OGLEIII_OGLE-BLG-RRLYR-01156,6,OGLE-BLG-RRLYR-01156,RRc
OGLEIII_OGLE-BLG-RRLYR-01157,5,OGLE-BLG-RRLYR-01157,RRab
OGLEIII_OGLE-BLG-RRLYR-01159,4,OGLE-BLG-RRLYR-01159,RRab
OGLEIII_OGLE-BLG-RRLYR-01160,3,OGLE-BLG-RRLYR-01160,RRab
OGLEIII_OGLE-BLG-RRLYR-01162,5,OGLE-BLG-RRLYR-01162,RRab
OGLEIII_OGLE-BLG-RRLYR-01163,4,OGLE-BLG-RRLYR-01163,RRab
OGLEIII_OGLE-BLG-RRLYR-01164,4,OGLE-BLG-RRLYR-01164,RRab
OGLEIII_OGLE-BLG-RRLYR-01165,4,OGLE-BLG-RRLYR-01165,RRab
OGLEIII_OGLE-BLG-RRLYR-01166,1,OGLE-BLG-RRLYR-01166,RRab
OGLEIII_OGLE-BLG-RRLYR-01169,4,OGLE-BLG-RRLYR-01169,RRab
OGLEIII_OGLE-BLG-RRLYR-01170,4,OGLE-BLG-RRLYR-01170,RRab
OGLEIII_OGLE-BLG-RRLYR-01171,1,OGLE-BLG-RRLYR-01171,RRab
OGLEIII_OGLE-BLG-RRLYR-01172,1,OGLE-BLG-RRLYR-01172,RRab
OGLEIII_OGLE-BLG-RRLYR-01173,4,OGLE-BLG-RRLYR-01173,RRab
OGLEIII_OGLE-BLG-RRLYR-01174,1,OGLE-BLG-RRLYR-01174,RRab
OGLEIII_OGLE-BLG-RRLYR-01178,3,OGLE-BLG-RRLYR-01178,RRab
OGLEIII_OGLE-BLG-RRLYR-01180,1,OGLE-BLG-RRLYR-01180,RRab
OGLEIII_OGLE-BLG-RRLYR-01183,2,OGLE-BLG-RRLYR-01183,RRc
OGLEIII_OGLE-BLG-RRLYR-01185,4,OGLE-BLG-RRLYR-01185,RRab
OGLEIII_OGLE-BLG-RRLYR-01186,6,OGLE-BLG-RRLYR-01186,RRc
OGLEIII_OGLE-BLG-RRLYR-01187,4,OGLE-BLG-RRLYR-01187,RRab
OGLEIII_OGLE-BLG-RRLYR-01189,4,OGLE-BLG-RRLYR-01189,RRab
OGLEIII_OGLE-BLG-RRLYR-01190,4,OGLE-BLG-RRLYR-01190,RRab
OGLEIII_OGLE-BLG-RRLYR-01191,6,OGLE-BLG-RRLYR-01191,RRc
OGLEIII_OGLE-BLG-RRLYR-01192,6,OGLE-BLG-RRLYR-01192,RRc
OGLEIII_OGLE-BLG-RRLYR-01193,3,OGLE-BLG-RRLYR-01193,RRab
OGLEIII_OGLE-BLG-RRLYR-01194,2,OGLE-BLG-RRLYR-01194,RRd
OGLEIII_OGLE-BLG-RRLYR-01197,4,OGLE-BLG-RRLYR-01197,RRab
OGLEIII_OGLE-BLG-RRLYR-01198,6,OGLE-BLG-RRLYR-01198,RRc
OGLEIII_OGLE-BLG-RRLYR-01199,3,OGLE-BLG-RRLYR-01199,RRab
OGLEIII_OGLE-BLG-RRLYR-01200,4,OGLE-BLG-RRLYR-01200,RRab
OGLEIII_OGLE-BLG-RRLYR-01202,5,OGLE-BLG-RRLYR-01202,RRab
OGLEIII_OGLE-BLG-RRLYR-01203,3,OGLE-BLG-RRLYR-01203,RRab
OGLEIII_OGLE-BLG-RRLYR-01205,5,OGLE-BLG-RRLYR-01205,RRab
OGLEIII_OGLE-BLG-RRLYR-01206,6,OGLE-BLG-RRLYR-01206,RRc
OGLEIII_OGLE-BLG-RRLYR-01207,1,OGLE-BLG-RRLYR-01207,RRab
OGLEIII_OGLE-BLG-RRLYR-01209,6,OGLE-BLG-RRLYR-01209,RRc
OGLEIII_OGLE-BLG-RRLYR-01210,4,OGLE-BLG-RRLYR-01210,RRab
OGLEIII_OGLE-BLG-RRLYR-01211,1,OGLE-BLG-RRLYR-01211,RRab
OGLEIII_OGLE-BLG-RRLYR-01213,6,OGLE-BLG-RRLYR-01213,RRc
OGLEIII_OGLE-BLG-RRLYR-01214,4,OGLE-BLG-RRLYR-01214,RRab
OGLEIII_OGLE-BLG-RRLYR-01215,1,OGLE-BLG-RRLYR-01215,RRab
OGLEIII_OGLE-BLG-RRLYR-01216,6,OGLE-BLG-RRLYR-01216,RRc
OGLEIII_OGLE-BLG-RRLYR-01217,5,OGLE-BLG-RRLYR-01217,RRab
OGLEIII_OGLE-BLG-RRLYR-01218,5,OGLE-BLG-RRLYR-01218,RRab
OGLEIII_OGLE-BLG-RRLYR-01360,1,OGLE-BLG-RRLYR-01360,RRab
OGLEIII_OGLE-BLG-RRLYR-01361,1,OGLE-BLG-RRLYR-01361,RRab
OGLEIII_OGLE-BLG-RRLYR-01365,6,OGLE-BLG-RRLYR-01365,RRc
OGLEIII_OGLE-BLG-RRLYR-01368,1,OGLE-BLG-RRLYR-01368,RRab
OGLEIII_OGLE-BLG-RRLYR-01370,2,OGLE-BLG-RRLYR-01370,RRc
OGLEIII_OGLE-BLG-RRLYR-01371,4,OGLE-BLG-RRLYR-01371,RRab
OGLEIII_OGLE-BLG-RRLYR-01376,1,OGLE-BLG-RRLYR-01376,RRab
OGLEIII_OGLE-BLG-RRLYR-01381,1,OGLE-BLG-RRLYR-01381,RRab
OGLEIII_OGLE-BLG-RRLYR-01384,2,OGLE-BLG-RRLYR-01384,RRc
OGLEIII_OGLE-BLG-RRLYR-01386,5,OGLE-BLG-RRLYR-01386,RRab
OGLEIII_OGLE-BLG-RRLYR-01389,5,OGLE-BLG-RRLYR-01389,RRab
OGLEIII_OGLE-BLG-RRLYR-01390,2,OGLE-BLG-RRLYR-01390,RRab
OGLEIII_OGLE-BLG-RRLYR-01391,2,OGLE-BLG-RRLYR-01391,RRc
OGLEIII_OGLE-BLG-RRLYR-01393,1,OGLE-BLG-RRLYR-01393,RRab
OGLEIII_OGLE-BLG-RRLYR-01398,2,OGLE-BLG-RRLYR-01398,RRc
OGLEIII_OGLE-BLG-RRLYR-01399,5,OGLE-BLG-RRLYR-01399,RRab
OGLEIII_OGLE-BLG-RRLYR-01400,2,OGLE-BLG-RRLYR-01400,RRc
OGLEIII_OGLE-BLG-RRLYR-01404,1,OGLE-BLG-RRLYR-01404,RRab
OGLEIII_OGLE-BLG-RRLYR-01405,1,OGLE-BLG-RRLYR-01405,RRab
OGLEIII_OGLE-BLG-RRLYR-01406,2,OGLE-BLG-RRLYR-01406,RRab
OGLEIII_OGLE-BLG-RRLYR-01408,6,OGLE-BLG-RRLYR-01408,RRc
OGLEIII_OGLE-BLG-RRLYR-01409,5,OGLE-BLG-RRLYR-01409,RRab
OGLEIII_OGLE-BLG-RRLYR-01422,6,OGLE-BLG-RRLYR-01422,RRc
